piezo,date,level
Stream 1,4/2/2010 0:00,-43.935
Stream 1,12/2/2010 0:00,-43.862
Stream 1,20/02/10 0:00,-43.793
Stream 1,28/02/10 0:00,-43.775
Stream 1,8/3/2010 0:00,-43.706
Stream 1,16/03/10 0:00,-43.735
Stream 1,24/03/10 0:00,-43.72
Stream 1,1/4/2010 0:00,-43.67
Stream 1,9/4/2010 12:00,-43.491
Stream 1,17/04/10 12:00,-43.512
Stream 1,25/04/10 12:00,-43.491
Stream 1,3/5/2010 12:00,-43.51
Stream 1,11/5/2010 12:00,-43.49
Stream 1,19/05/10 12:00,-43.501
Stream 1,27/05/10 12:00,-43.462
Stream 1,4/6/2010 12:00,-43.412
Stream 1,12/6/2010 12:00,-43.409
Stream 1,21/06/10 0:00,-43.278
Stream 1,29/06/10 0:00,-43.22
Stream 1,20/08/10 8:30,-43.084
Stream 1,24/08/10 8:30,-43.088
Stream 1,28/08/10 8:30,-43.12
Stream 1,1/9/2010 8:30,-43.12
Stream 1,5/9/2010 8:30,-43.09
Stream 1,9/9/2010 8:30,-43.117
Stream 1,13/09/10 8:30,-43.117
Stream 1,17/09/10 8:30,-43.091
Stream 1,21/09/10 8:30,-43.105
Stream 1,25/09/10 8:30,-43.093
Stream 1,29/09/10 8:30,-43.095
Stream 1,3/10/2010 8:30,-43.111
Stream 1,7/10/2010 8:30,-43.074
Stream 1,11/10/2010 8:30,-43.105
Stream 1,15/10/10 8:30,-43.045
Stream 1,19/10/10 8:30,-43.105
Stream 1,26/10/10 22:00,-43.027
Stream 1,3/11/2010 22:00,-43.024
Stream 1,11/11/2010 22:00,-43.006
Stream 1,19/11/10 22:00,-43.044
Stream 1,27/11/10 22:00,-43.048
Stream 1,5/12/2010 22:00,-43.007
Stream 1,13/12/10 22:00,-43.034
Stream 1,22/12/10 0:00,-43.107
Stream 1,30/12/10 0:00,-43.099
Stream 1,7/1/2011 0:00,-43.121
Stream 1,15/01/11 0:00,-43.109
Stream 1,23/01/11 0:00,-43.165
Stream 1,31/01/11 0:00,-43.208
Stream 1,8/2/2011 0:00,-43.251
Stream 1,16/02/11 0:00,-43.292
Stream 1,20/04/11 20:57,-43.273
Stream 1,28/04/11 20:57,-43.255
Stream 1,6/5/2011 20:57,-43.219
Stream 1,14/05/11 20:57,-43.25
Stream 1,22/05/11 20:57,-43.209
Stream 1,30/05/11 20:57,-43.196
Stream 1,7/6/2011 20:57,-43.104
Stream 1,15/06/11 20:57,-43.1
Stream 1,23/06/11 20:57,-43.078
Stream 1,2/7/2011 0:00,-42.998
Stream 1,10/7/2011 0:00,-42.917
Stream 1,18/07/11 0:00,-42.926
Stream 1,26/07/11 0:00,-42.823
Stream 1,3/8/2011 0:00,-42.829
Stream 1,11/8/2011 0:00,-42.779
Stream 1,19/08/11 0:00,-42.754
Stream 1,27/08/11 23:00,-42.657
Stream 1,4/9/2011 23:00,-42.681
Stream 1,12/9/2011 23:00,-42.722
Stream 1,20/09/11 23:00,-42.73
Stream 1,28/09/11 23:00,-42.708
Stream 1,6/10/2011 23:00,-42.74
Stream 1,23/12/11 22:30,-42.813
Stream 1,31/12/11 22:30,-42.848
Stream 1,8/1/2012 22:30,-42.839
Stream 1,16/01/12 22:30,-42.87
Stream 1,24/01/12 22:30,-42.878
Stream 1,1/2/2012 22:30,-42.848
Stream 1,9/2/2012 22:30,-42.844
Stream 1,17/02/12 23:00,-42.875
Stream 1,25/02/12 23:00,-42.887
Stream 1,4/3/2012 23:00,-42.808
Stream 1,12/3/2012 23:00,-42.813
Stream 1,20/03/12 23:00,-42.78
Stream 1,28/03/12 23:00,-42.769
Stream 1,5/4/2012 20:00,-42.744
Stream 1,13/04/12 20:00,-42.775
Stream 1,21/04/12 20:00,-42.707
Stream 1,29/04/12 20:00,-42.744
Stream 1,7/5/2012 20:00,-42.748
Stream 1,15/05/12 20:00,-42.789
Stream 1,23/05/12 20:00,-42.793
Stream 1,31/05/12 20:00,-42.829
Stream 1,8/6/2012 20:00,-42.792
Stream 1,16/06/12 20:00,-42.748
Stream 1,24/06/12 20:00,-42.778
Stream 1,2/7/2012 20:00,-42.77
Stream 1,22/08/12 22:00,-42.675
Stream 1,30/08/12 22:00,-42.742
Stream 1,7/9/2012 22:00,-42.735
Stream 1,15/09/12 22:00,-42.811
Stream 1,23/09/12 22:00,-42.787
Stream 1,1/10/2012 22:00,-42.868
Stream 1,9/10/2012 22:00,-42.842
Stream 1,17/10/12 22:00,-42.86
Stream 1,25/10/12 22:00,-42.868
Stream 1,3/11/2012 10:00,-43.204
Stream 1,11/11/2012 10:00,-43.275
Stream 1,19/11/12 10:00,-43.243
Stream 1,27/11/12 10:00,-43.287
Stream 1,5/12/2012 10:00,-43.262
Stream 1,13/12/12 10:00,-43.356
Stream 1,20/12/12 10:00,-43.101
Stream 1,24/12/12 10:00,-43.127
Stream 1,28/12/12 10:00,-43.156
Stream 1,1/1/2013 10:00,-43.175
Stream 1,5/1/2013 10:00,-43.217
Stream 1,9/1/2013 10:00,-43.196
Stream 1,13/01/13 10:00,-43.236
Stream 1,17/01/13 10:00,-43.265
Stream 1,21/01/13 10:00,-43.313
Stream 1,25/01/13 22:00,-43.141
Stream 1,29/01/13 22:00,-43.033
Stream 1,2/2/2013 22:00,-43.049
Stream 1,6/2/2013 22:00,-43.087
Stream 1,10/2/2013 22:00,-43.104
Stream 1,14/02/13 22:00,-43.13
Stream 1,18/02/13 22:00,-43.144
Stream 1,22/02/13 22:00,-43.156
Stream 1,26/02/13 22:00,-43.107
Stream 1,2/3/2013 22:00,-43.099
Stream 1,6/3/2013 22:00,-43.108
Stream 1,10/3/2013 22:00,-43.118
Stream 1,14/03/13 22:00,-43.108
Stream 1,18/03/13 22:00,-43.102
Stream 1,22/03/13 22:00,-43.084
Stream 1,26/03/13 22:00,-43.113
Stream 1,30/03/13 22:00,-43.094
Stream 1,3/4/2013 22:00,-43.127
Stream 1,7/4/2013 22:00,-43.131
Stream 1,11/4/2013 22:00,-43.137
Stream 1,15/04/13 22:00,-43.104
Stream 1,20/04/13 4:00,-43.779
Stream 1,24/04/13 4:00,-43.762
Stream 1,28/04/13 4:00,-43.779
Stream 1,2/5/2013 4:00,-43.791
Stream 1,6/5/2013 4:00,-43.796
Stream 1,10/5/2013 4:00,-43.815
Stream 1,14/05/13 4:00,-43.794
Stream 1,18/05/13 4:00,-43.797
Stream 1,22/05/13 4:00,-43.19
Stream 1,26/05/13 4:00,-43.024
Stream 1,30/05/13 4:00,-43.031
