text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
#Knowledge makes a man unfit to be a slave (to the #Democrat or #Republican #party )… https://t.co/UDbOxQx438,11/9/2016 5:05,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}","Brooklyn, NY",0.930886893,negative,Sadness,Election
Bad officials are elected by good citizens who do not vote. #election2016 #electionday #voted… https://t.co/JvzuUPJx8j,11/9/2016 5:05,40.82698178,-73.92100957,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.92100957, 40.82698178], 'type': 'Point'}","Brooklyn, NY",0.474579401,negative,Sadness,Election
Decisions are made by those who show up. Go vote! #election2016 #geauxvote #westwing @ New… https://t.co/KUdvd7x6MC,11/9/2016 5:03,40.8495,-73.9057,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9057, 40.8495], 'type': 'Point'}","Brooklyn, NY",0.057896815,negative,Joy,Election
"DONT BOO, VOTE #election2016 #nyc #brooklyn @ Cypress Hills, Brooklyn https://t.co/e3HHsJTHwO",11/9/2016 4:59,35.36521897,-80.79230728,"Place(name='Charlotte', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json', full_name='Charlotte, NC', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]], type='Polygon'), contained_within=[], id='512a8a4a4c4b4be0')","{'coordinates': [-80.79230728, 35.36521897], 'type': 'Point'}","Charlotte, NC",0.108836579,negative,Sadness,Election
I voted today! #election2016 #vote #GenevaNY @ Hydrant Hose Fire… https://t.co/7rAHEF5o45,11/9/2016 4:54,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}","Brooklyn, NY",0.108836579,negative,Joy,Election
If Congress refuse to listen to and grant what women ask there is but one course left then to… https://t.co/HNitN3V8iZ,11/9/2016 4:53,40.85417975,-73.9153867,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9153867, 40.85417975], 'type': 'Point'}","Brooklyn, NY",0.037452656,negative,Anger,Election
It's a beautiful day to vote 🇺🇸. #myvote #election2016 #merica @ Central Park https://t.co/vvqIY5TJWq,11/9/2016 4:52,40.8537,-73.9074,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9074, 40.8537], 'type': 'Point'}","Brooklyn, NY",1,neutral,Joy,Election
"Just own what you Believe in and please vote. 🇺🇸 #election2016 @ Thornton, Colorado https://t.co/itAPwI1VEq",11/9/2016 4:51,40.85770398,-73.91227858,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.91227858, 40.85770398], 'type': 'Point'}","Brooklyn, NY",1.891163421,neutral,Trust,Election
Logan #husky #voted! What's your excuse? #vote #vota #election2016 #election #president… https://t.co/fgPEk9ZvNJ,11/9/2016 4:50,40.85770398,-73.91227858,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.91227858, 40.85770398], 'type': 'Point'}","Brooklyn, NY",0.057896815,negative,Surprise,Election
"Same.
#rirkrittiravanija #moma #modernart #contemporaryart #politicalstatement #election2016… https://t.co/ksQ7rmgYfo",11/9/2016 4:49,40.048762,-75.189749,"Place(name='Philadelphia', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', full_name='Philadelphia, PA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]], type='Polygon'), contained_within=[], id='e4a0d228eb6be76b')","{'coordinates': [-75.189749, 40.048762], 'type': 'Point'}",Brooklyn bwo Philly ,2.315120175,positive,Surprise,Election
