text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
Show me a leader so hope never dies. #ivoted🇺🇸 #election2016🇺🇸 @ Skiles Test Elementary School https://t.co/OBzo7Y2VOV,11/9/2016 4:37,37.78678264,-122.414876,"Place(name='San Francisco', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', full_name='San Francisco, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]], type='Polygon'), contained_within=[], id='5a110d312052166f')","{'coordinates': [-122.41487603, 37.78678264], 'type': 'Point'}","San Francisco, CA",1.078925267,neutral,Fear,Election
#67. #Election2016 @ Ben Franklin High School https://t.co/BxMKyLsi3E,11/9/2016 2:15,33.17435814,-87.49761934,"Place(name='Tuscaloosa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3a22597bb94d08bd.json', full_name='Tuscaloosa, AL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.626729, 33.098411], [-87.440084, 33.098411], [-87.440084, 33.29479], [-87.626729, 33.29479]]], type='Polygon'), contained_within=[], id='3a22597bb94d08bd')","{'coordinates': [-87.49761934, 33.17435814], 'type': 'Point'}",The Speed Force,0.108836579,negative,Fear,Election
#AfterWork #ElectionEve  #election2016 still undecided. 😞😭 @ BJ's Restaurant and Brewhouse https://t.co/p3vf0tHJcp,11/9/2016 1:36,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}",NYC,0.057896815,negative,Fear,Election
"#AMERICA, let your #voice be heard!  #VOTE #Election2016 #ElectionDay https://t.co/LzfjGCsmxe",11/9/2016 1:22,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}","Brooklyn, NY",0.108836579,negative,Fear,Election
#dontforget to get out there and #vote #today #election2016 #election #electionday… https://t.co/7HSlxvu70V,11/9/2016 0:18,39.7321,-104.949,"Place(name='Denver', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', full_name='Denver, CO', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]], type='Polygon'), contained_within=[], id='b49b3053b5c25bf5')","{'coordinates': [-104.949, 39.7321], 'type': 'Point'}",right next to you,0.055728215,negative,Fear,Election
"#election2016 -- What a long, strange trip it's been. #electionday #vote #georgia @ Peachcrest… https://t.co/SqlPKPIEfC",11/8/2016 23:22,39.7321,-104.949,"Place(name='Denver', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', full_name='Denver, CO', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]], type='Polygon'), contained_within=[], id='b49b3053b5c25bf5')","{'coordinates': [-104.949, 39.7321], 'type': 'Point'}","Denver, CO",0.037452656,negative,Fear,Election
#election2016 #day @ Mount Sentinel https://t.co/DqgIDEGi7k,11/8/2016 18:50,38.88878628,-77.0058375,"Place(name='Washington', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', full_name='Washington, DC', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]], type='Polygon'), contained_within=[], id='01fbe706f872cb32')","{'coordinates': [-77.0058375, 38.88878628], 'type': 'Point'}",,0.108836579,negative,Fear,Election
#election2016 #decision2016 #rockthevote #vote #overit #readytomoveon #election #me #jimontheair… https://t.co/I2PSPiOFes,11/8/2016 18:50,39.965,-75.13555556,"Place(name='Philadelphia', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', full_name='Philadelphia, PA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]], type='Polygon'), contained_within=[], id='e4a0d228eb6be76b')","{'coordinates': [-75.13555556, 39.965], 'type': 'Point'}",Philadelphia,0.108836579,negative,Fear,Election
#election2016 #electionday #republican #democrat #hillaryclinton #donaldtrump #undecided… https://t.co/UXM3dgerQm,11/8/2016 18:07,34.1486,-118.396,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.396, 34.1486], 'type': 'Point'}",Los Angeles,0.926848254,negative,Fear,Hillary
#election2016 #electionday let's see what happens and good luck to everyone #longestelectionever… https://t.co/X9kQmydtpl,11/8/2016 17:58,37.09277,-76.38133,"Place(name='Hampton', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/2f5f5ba43ec2f5a9.json', full_name='Hampton, VA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-76.451006, 36.989568], [-76.273546, 36.989568], [-76.273546, 37.112225], [-76.451006, 37.112225]]], type='Polygon'), contained_within=[], id='2f5f5ba43ec2f5a9')","{'coordinates': [-76.38133, 37.09277], 'type': 'Point'}",MYRTLE Beach ✈ ATLANTA ✈ VA.,1.818011675,neutral,Fear,Election
