text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
I Just Rocked My Vote! ~Hoopla~          I'm with Her Hillary #Hillary  #election2016🇺🇸… https://t.co/VLDC72zq8u,11/9/2016 4:55,38.9674293,-77.39892658,"Place(name='Herndon', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/33d41d156b557913.json', full_name='Herndon, VA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-77.413471, 38.953006], [-77.364481, 38.953006], [-77.364481, 38.988444], [-77.413471, 38.988444]]], type='Polygon'), contained_within=[], id='33d41d156b557913')","{'coordinates': [-77.39892658, 38.9674293], 'type': 'Point'}","Washington, DC",21.27152655,positive,Joy,Hillary
I Just Rocked My Vote! ~Hoopla~  I'm with Her Hillary #Hillary  #election2016🇺🇸 #GoVote… https://t.co/VLDC72zq8u,11/9/2016 4:56,40.82698178,-73.92100957,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.92100957, 40.82698178], 'type': 'Point'}","Brooklyn, NY",21.27152655,positive,Joy,Hillary
Your vote is not a joke...stand up and fight for the future lady Gaga #Election2016 #Votehot @… https://t.co/DscsdHpMpw,11/9/2016 4:33,47.61514389,-122.3278253,"Place(name='Seattle', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/300bcc6e23a88361.json', full_name='Seattle, WA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]], type='Polygon'), contained_within=[], id='300bcc6e23a88361')","{'coordinates': [-122.3278253, 47.61514389], 'type': 'Point'}",chicago/seattle,0.641766127,negative,Anger,Hillary
#1354 #ivoted #election2016 #ImWithHer @ Queen Of Apostles Elementary School https://t.co/W2SqZId2EA,11/9/2016 2:06,42.3561185,-71.0552516,"Place(name='Boston', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json', full_name='Boston, MA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]], type='Polygon'), contained_within=[], id='67b98f17fdcf20be')","{'coordinates': [-71.0552516, 42.3561185], 'type': 'Point'}","Boston, MA",0.108836579,negative,Joy,Hillary
#2016election #LetsVote #election2016 #VotoLatino #RockTheVote #Hillary2016 #trump2016… https://t.co/T6cRk4H9LJ,11/9/2016 1:53,38.96457374,-95.2350229,"Place(name='Kansas', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/27c45d804c777999.json', full_name='Kansas, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-102.051769, 36.9931101], [-94.588081, 36.9931101], [-94.588081, 40.003282], [-102.051769, 40.003282]]], type='Polygon'), contained_within=[], id='27c45d804c777999')","{'coordinates': [-95.2350229, 38.96457374], 'type': 'Point'}",,0.108836579,negative,Sadness,Hillary
#art #magick #meditation #freedumb #vote #election2016 #donaldtrump #hillaryclinton @ JR'S Golf… https://t.co/FHjjk1tJX0,11/9/2016 1:14,38.562967,-121.486881,"Place(name='Sacramento', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json', full_name='Sacramento, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-121.576613, 38.43792], [-121.362715, 38.43792], [-121.362715, 38.6855236], [-121.576613, 38.6855236]]], type='Polygon'), contained_within=[], id='b71fac2ee9792cbe')","{'coordinates': [-121.486881, 38.562967], 'type': 'Point'}",California,0.108836579,negative,Surprise,Hillary
"#Boom #Voted #Election2016 #ImWithHer and ALL the hers, and hims, and thems, and YOU, too! 🙏🙋🇺🇸… https://t.co/yt5ZhHHqUX",11/9/2016 1:00,34.7397087,-96.7401826,"Place(name='Ada', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/7d89114dfdfefb68.json', full_name='Ada, OK', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-96.717492, 34.729522], [-96.617888, 34.729522], [-96.617888, 34.8213714], [-96.717492, 34.8213714]]], type='Polygon'), contained_within=[], id='7d89114dfdfefb68')","{'coordinates': [-96.7401826, 34.7397087], 'type': 'Point'}","Ada, Oklahoma",0.926848254,negative,Sadness,Hillary
#charlesschumer #newyorksenator #voteCHUCKtuesday #democrat #awesome public servant #greatguy… https://t.co/edrEdtJi0H,11/9/2016 0:59,33.64685,-112.06869,"Place(name='Phoenix', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json', full_name='Phoenix, AZ', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]], type='Polygon'), contained_within=[], id='5c62ffb0f0f3479d')","{'coordinates': [-112.06869, 33.64685], 'type': 'Point'}","Phoenix, AZ",38.67188361,positive,Joy,Hillary
#civicduty #election2016 🇱🇷 #ivoted #iguessimwithher #staywoke #melanin #king #brooksstatus @… https://t.co/stlyxyAu8e,11/9/2016 0:46,33.68287932,-117.8847392,"Place(name='Costa Mesa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/2f97b9acb13ca665.json', full_name='Costa Mesa, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-117.954201, 33.625179], [-117.85709, 33.625179], [-117.85709, 33.702038], [-117.954201, 33.702038]]], type='Polygon'), contained_within=[], id='2f97b9acb13ca665')","{'coordinates': [-117.88473922, 33.68287932], 'type': 'Point'}",los angeles,1,neutral,Joy,Hillary
#decision #brooklyn #brooklynbridge #flag #newyork #newyorkcity #elections #democrat #fall… https://t.co/mnG9cB3ayT,11/9/2016 0:44,37.77365,-122.41733,"Place(name='San Francisco', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', full_name='San Francisco, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]], type='Polygon'), contained_within=[], id='5a110d312052166f')","{'coordinates': [-122.41733, 37.77365], 'type': 'Point'}",San Francisco,19.71547723,positive,Sadness,Hillary
