text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
Decisions are made by those who show up. Go vote! #election2016 #geauxvote #westwing @ New… https://t.co/KUdvd7x6MC,11/9/2016 5:03,40.8495,-73.9057,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9057, 40.8495], 'type': 'Point'}","Brooklyn, NY",0.057896815,negative,Joy,Election
I Just Rocked My Vote! ~Hoopla~          I'm with Her Hillary #Hillary  #election2016🇺🇸… https://t.co/VLDC72zq8u,11/9/2016 4:55,38.9674293,-77.39892658,"Place(name='Herndon', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/33d41d156b557913.json', full_name='Herndon, VA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-77.413471, 38.953006], [-77.364481, 38.953006], [-77.364481, 38.988444], [-77.413471, 38.988444]]], type='Polygon'), contained_within=[], id='33d41d156b557913')","{'coordinates': [-77.39892658, 38.9674293], 'type': 'Point'}","Washington, DC",21.27152655,positive,Joy,Hillary
I Just Rocked My Vote! ~Hoopla~  I'm with Her Hillary #Hillary  #election2016🇺🇸 #GoVote… https://t.co/VLDC72zq8u,11/9/2016 4:56,40.82698178,-73.92100957,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.92100957, 40.82698178], 'type': 'Point'}","Brooklyn, NY",21.27152655,positive,Joy,Hillary
I voted today! #election2016 #vote #GenevaNY @ Hydrant Hose Fire… https://t.co/7rAHEF5o45,11/9/2016 4:54,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}","Brooklyn, NY",0.108836579,negative,Joy,Election
It's a beautiful day to vote 🇺🇸. #myvote #election2016 #merica @ Central Park https://t.co/vvqIY5TJWq,11/9/2016 4:52,40.8537,-73.9074,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9074, 40.8537], 'type': 'Point'}","Brooklyn, NY",1,neutral,Joy,Election
# voting #election2016 #hanovercountyvirginia #garyjohnson2016 @ Laurel MeadowElementary https://t.co/03tLlR8bkS,11/9/2016 2:23,39.93997834,-75.16645509,"Place(name='Philadelphia', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', full_name='Philadelphia, PA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]], type='Polygon'), contained_within=[], id='e4a0d228eb6be76b')","{'coordinates': [-75.16645509, 39.93997834], 'type': 'Point'}",Philadelphia,0.108836579,negative,Joy,Election
#1354 #ivoted #election2016 #ImWithHer @ Queen Of Apostles Elementary School https://t.co/W2SqZId2EA,11/9/2016 2:06,42.3561185,-71.0552516,"Place(name='Boston', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json', full_name='Boston, MA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]], type='Polygon'), contained_within=[], id='67b98f17fdcf20be')","{'coordinates': [-71.0552516, 42.3561185], 'type': 'Point'}","Boston, MA",0.108836579,negative,Joy,Hillary
#206 #getoutandvote #election2016 #ivoted🇺🇸 @ Walker Fire Station 2 https://t.co/2G5KxVuDwC,11/9/2016 2:11,41.8781136,-87.6297982,"Place(name='Chicago', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json', full_name='Chicago, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]], type='Polygon'), contained_within=[], id='1d9a5370a355ab0c')","{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",United States,0.108836579,negative,Joy,Election
#adrianj #firsttimevoter #heswithher #hedidntvotefirtrump #election2016 #gooutandvote… https://t.co/GzPz5n957m,11/9/2016 1:45,33.57796473,-84.33844098,"Place(name='Morrow', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/d6f81f46b9393919.json', full_name='Morrow, GA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-84.358067, 33.563564], [-84.309694, 33.563564], [-84.309694, 33.607716], [-84.358067, 33.607716]]], type='Polygon'), contained_within=[], id='d6f81f46b9393919')","{'coordinates': [-84.33844098, 33.57796473], 'type': 'Point'}","Atlanta, GA",0.108836579,negative,Joy,Trump
#Baltimore #vote for Bond Issue D to fund @prattlibrary buildings https://t.co/ZcxU2p6fEG #Election2016 @Pratt_Contemps,11/9/2016 1:01,42.07207207,-87.91733504,"Place(name='Wheeling', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/f2da3efc48696715.json', full_name='Wheeling, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.961117, 42.094938], [-87.886833, 42.094938], [-87.886833, 42.154943], [-87.961117, 42.154943]]], type='Polygon'), contained_within=[], id='f2da3efc48696715')","{'coordinates': [-87.91733504, 42.07207207], 'type': 'Point'}",USA,0.028748523,negative,Joy,Election
