text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
It's a beautiful day to vote 🇺🇸. #myvote #election2016 #merica @ Central Park https://t.co/vvqIY5TJWq,11/9/2016 4:52,40.8537,-73.9074,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9074, 40.8537], 'type': 'Point'}","Brooklyn, NY",1,neutral,Joy,Election
"Just own what you Believe in and please vote. 🇺🇸 #election2016 @ Thornton, Colorado https://t.co/itAPwI1VEq",11/9/2016 4:51,40.85770398,-73.91227858,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.91227858, 40.85770398], 'type': 'Point'}","Brooklyn, NY",1.891163421,neutral,Trust,Election
Show me a leader so hope never dies. #ivoted🇺🇸 #election2016🇺🇸 @ Skiles Test Elementary School https://t.co/OBzo7Y2VOV,11/9/2016 4:37,37.78678264,-122.414876,"Place(name='San Francisco', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', full_name='San Francisco, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]], type='Polygon'), contained_within=[], id='5a110d312052166f')","{'coordinates': [-122.41487603, 37.78678264], 'type': 'Point'}","San Francisco, CA",1.078925267,neutral,Fear,Election
#aka1908 #bethevoice #election2016 @ Bowie State University https://t.co/jvloxW1Xnq,11/9/2016 1:33,25.81584869,-80.38631179,"Place(name='Doral', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/053ab8e6678199ed.json', full_name='Doral, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.41729, 25.780974], [-80.3210162, 25.780974], [-80.3210162, 25.870313], [-80.41729, 25.870313]]], type='Polygon'), contained_within=[], id='053ab8e6678199ed')","{'coordinates': [-80.38631179, 25.81584869], 'type': 'Point'}","Miami, FL",1,neutral,Surprise,Election
#civicduty #election2016 🇱🇷 #ivoted #iguessimwithher #staywoke #melanin #king #brooksstatus @… https://t.co/stlyxyAu8e,11/9/2016 0:46,33.68287932,-117.8847392,"Place(name='Costa Mesa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/2f97b9acb13ca665.json', full_name='Costa Mesa, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-117.954201, 33.625179], [-117.85709, 33.625179], [-117.85709, 33.702038], [-117.954201, 33.702038]]], type='Polygon'), contained_within=[], id='2f97b9acb13ca665')","{'coordinates': [-117.88473922, 33.68287932], 'type': 'Point'}",los angeles,1,neutral,Joy,Hillary
#😂 #trump #rapper #thedailyshow #trevornoah #election2016 @ New Jersey https://t.co/G6sbjqx3Pv,11/9/2016 0:12,41.82988836,-87.82130932,"Place(name='Riverside', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/49ecb21afc709bea.json', full_name='Riverside, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.8321527, 41.816203], [-87.802651, 41.816203], [-87.802651, 41.843094], [-87.8321527, 41.843094]]], type='Polygon'), contained_within=[], id='49ecb21afc709bea')","{'coordinates': [-87.82130932, 41.82988836], 'type': 'Point'}",USA,1,neutral,Joy,Trump
"#Election #Election2016 #presidentialelection #trump #clinton #AmericanSuicide @ Saint Matthews,… https://t.co/JZsboOMMLv",11/8/2016 23:28,30.31879971,-91.81561138,"Place(name='Henderson', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/012896851d964980.json', full_name='Henderson, LA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-91.8369769, 30.300087], [-91.786385, 30.300087], [-91.786385, 30.3269686], [-91.8369769, 30.3269686]]], type='Polygon'), contained_within=[], id='012896851d964980')","{'coordinates': [-91.81561138, 30.31879971], 'type': 'Point'}","Broussard, Arnaudville, NOLA",1.891163421,neutral,Sadness,Trump
#election2016 #blacklivesmatter These fokes in #covington GA support Trump if you vote Trump… https://t.co/RwfvUPSBBw,11/8/2016 19:18,40.00638889,-75.70611111,"Place(name='Downingtown', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/88c2d3fb34a48926.json', full_name='Downingtown, PA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.727518, 39.995832], [-75.675925, 39.995832], [-75.675925, 40.021647], [-75.727518, 40.021647]]], type='Polygon'), contained_within=[], id='88c2d3fb34a48926')","{'coordinates': [-75.70611111, 40.00638889], 'type': 'Point'}","Philadelphia, PA",1.891163421,neutral,Sadness,Trump
#election2016 #electionday let's see what happens and good luck to everyone #longestelectionever… https://t.co/X9kQmydtpl,11/8/2016 17:58,37.09277,-76.38133,"Place(name='Hampton', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/2f5f5ba43ec2f5a9.json', full_name='Hampton, VA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-76.451006, 36.989568], [-76.273546, 36.989568], [-76.273546, 37.112225], [-76.451006, 37.112225]]], type='Polygon'), contained_within=[], id='2f5f5ba43ec2f5a9')","{'coordinates': [-76.38133, 37.09277], 'type': 'Point'}",MYRTLE Beach ✈ ATLANTA ✈ VA.,1.818011675,neutral,Fear,Election
#election2016 #imwithher @ Jesus Sacred Heart Church CA https://t.co/flvuN3R1MI,11/8/2016 17:18,34.09444444,-118.2675,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.2675, 34.09444444], 'type': 'Point'}",Los Angeles,1.818011675,neutral,Fear,Hillary
