text,created_at,lat,lon,polarity,sentiment,emotion,party
YOU be the change...That part! #voted #vote #voter #ivoted #democrat #hilaryclinton #unite… https://t.co/Wq5ZJVySed,11/8/2016 4:39,40.7506734,-73.9923478,19.71547723,positive,Sadness,Hillary
Y'all better step playing!!! Take care of your business!! #govote🇺🇸 #election2016… https://t.co/OQp1WlJT1R,11/8/2016 5:01,40.7142,-74.0064,38.67188361,positive,Surprise,Election
Wore the brother-in-laws special helmet to decide who I voted for! #Ivoted #election2016… https://t.co/G8GlU0ppNe,11/8/2016 5:25,39.903,-104.954,37.11583429,positive,Joy,Election
Wore my smart ass t-shirt to go vote yes I'm a proud #democrat always have been always will be!… https://t.co/KPQue8ubV4,11/8/2016 5:33,35.783,-78.67,95.54110273,positive,Fear,Hillary
"With this pen,  I will write in.  #votemyconscience #Election2016… https://t.co/mhKWkzd7yh",11/8/2016 5:34,40.7207559,-74.0007613,21.27152655,positive,Sadness,Election
Wishes she could vote today as well!! #catsofinstagram #cats #catsagram #tuxedocat #election2016… https://t.co/NjTumZsZNW,11/8/2016 5:38,41.35,-77.06,38.67188361,positive,Joy,Election
Winners hang with winners. Anthony Keith West and Congressman John Lewis Democrat Georgia. I… https://t.co/VpUSMKg3tA,11/8/2016 5:39,47.68649273,-122.3960804,38.67188361,positive,Fear,Hillary
"Whether you Republican or Democrat...#WhatUpEverybody 
#GetYoAssOutAndVote… https://t.co/TgsIkJapx3",11/8/2016 5:59,35.783,-78.67,19.71547723,positive,Fear,Election
Where are the Democrat signs in St. Charles County? #electionday @ Cottleville City Hall https://t.co/K8APjq4Tif,11/8/2016 6:03,35.783,-78.67,19.71547723,positive,Joy,Hillary
When you're smiling just to hold back the tears. #ivoted #election2016 @ West Metro Church of… https://t.co/wO5z1WnXH1,11/8/2016 6:07,34.10091,-118.34212,2.709175096,positive,Fear,Election
What a beautiful morning ☀️to take part in the democratic process! 🇺🇸 #iVoted #Election2016… https://t.co/3TlaQv7CTu,11/8/2016 6:38,38.8985902,-77.0336519,38.67188361,positive,Anger,Hillary
