text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
Logan #husky #voted! What's your excuse? #vote #vota #election2016 #election #president… https://t.co/fgPEk9ZvNJ,11/9/2016 4:50,40.85770398,-73.91227858,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.91227858, 40.85770398], 'type': 'Point'}","Brooklyn, NY",0.057896815,negative,Surprise,Election
"Same.
#rirkrittiravanija #moma #modernart #contemporaryart #politicalstatement #election2016… https://t.co/ksQ7rmgYfo",11/9/2016 4:49,40.048762,-75.189749,"Place(name='Philadelphia', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', full_name='Philadelphia, PA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]], type='Polygon'), contained_within=[], id='e4a0d228eb6be76b')","{'coordinates': [-75.189749, 40.048762], 'type': 'Point'}",Brooklyn bwo Philly ,2.315120175,positive,Surprise,Election
#2016 #45th #presidential #election #election2016 on my #birthday 🎂 #decided #fate of the… https://t.co/nIMVV6bWTx,11/9/2016 2:03,40.1607,-75.3043,"Place(name='Pennsylvania', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json', full_name='Pennsylvania, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]], type='Polygon'), contained_within=[], id='dd9c503d6c35364b')","{'coordinates': [-75.3043, 40.1607], 'type': 'Point'}","Blue Bell, PA",0.108836579,negative,Surprise,Election
#aka1908 #bethevoice #election2016 @ Bowie State University https://t.co/jvloxW1Xnq,11/9/2016 1:33,25.81584869,-80.38631179,"Place(name='Doral', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/053ab8e6678199ed.json', full_name='Doral, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.41729, 25.780974], [-80.3210162, 25.780974], [-80.3210162, 25.870313], [-80.41729, 25.870313]]], type='Polygon'), contained_within=[], id='053ab8e6678199ed')","{'coordinates': [-80.38631179, 25.81584869], 'type': 'Point'}","Miami, FL",1,neutral,Surprise,Election
#art #magick #meditation #freedumb #vote #election2016 #donaldtrump #hillaryclinton @ JR'S Golf… https://t.co/FHjjk1tJX0,11/9/2016 1:14,38.562967,-121.486881,"Place(name='Sacramento', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json', full_name='Sacramento, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-121.576613, 38.43792], [-121.362715, 38.43792], [-121.362715, 38.6855236], [-121.576613, 38.6855236]]], type='Polygon'), contained_within=[], id='b71fac2ee9792cbe')","{'coordinates': [-121.486881, 38.562967], 'type': 'Point'}",California,0.108836579,negative,Surprise,Hillary
"#done #election2016 #vote @ Los Feliz, Los Angeles https://t.co/VQXo1bbBUR",11/9/2016 0:30,34.0740894,-118.354891,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.35489104, 34.0740894], 'type': 'Point'}","West Hollywood, CA",0.108836579,negative,Surprise,Election
"#election2016  #ivoteddidyou @ Town of Penfield, New York https://t.co/mqUntpsbkd",11/8/2016 17:10,37.775,-122.418,"Place(name='San Francisco', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', full_name='San Francisco, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]], type='Polygon'), contained_within=[], id='5a110d312052166f')","{'coordinates': [-122.418, 37.775], 'type': 'Point'}","San Francisco, CA",0.108836579,negative,Surprise,Election
#election2016 #earlyvoter #apgovteacher #redwhiteandblue #bowtie #texas #democracy #america… https://t.co/QgoE2uimki,11/8/2016 18:49,33.9374,-84.3686,"Place(name='Sandy Springs', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b077585758242faa.json', full_name='Sandy Springs, GA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-84.4468, 33.876737], [-84.2580892, 33.876737], [-84.2580892, 34.010177], [-84.4468, 34.010177]]], type='Polygon'), contained_within=[], id='b077585758242faa')","{'coordinates': [-84.3686, 33.9374], 'type': 'Point'}",ATL,0.108836579,negative,Surprise,Hillary
"#election2016 #election @ Pacific Heights, San Francisco https://t.co/ptspf1twXm",11/8/2016 18:40,36.18687007,-115.2656257,"Place(name='Las Vegas', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5c2b5e46ab891f07.json', full_name='Las Vegas, NV', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-115.384091, 36.129459], [-115.062159, 36.129459], [-115.062159, 36.336371], [-115.384091, 36.336371]]], type='Polygon'), contained_within=[], id='5c2b5e46ab891f07')","{'coordinates': [-115.26562566, 36.18687007], 'type': 'Point'}","Las Vegas, Nevada",0.108836579,negative,Surprise,Election
#election2016 #gdhelpusall #positivevibesonly😀 #xoxo #❤️❤️ @ Santa Monica Windjammer's Yacht Club https://t.co/pp4aX31nvO,11/8/2016 17:46,39.7321,-104.949,"Place(name='Denver', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', full_name='Denver, CO', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]], type='Polygon'), contained_within=[], id='b49b3053b5c25bf5')","{'coordinates': [-104.949, 39.7321], 'type': 'Point'}","Denver, Colorado",0.108836579,negative,Surprise,Election
#election2016 #goodmorningamerica #vote #makeyourvoiceheard @… https://t.co/6kElbHrZcq,11/8/2016 17:43,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}",New York,0.108836579,negative,Surprise,Election
#election2016 #imwithher🇺🇸 #getoutsndvote ❤️⚪️💙 #letsmakehistory ✔️… https://t.co/Rss7R28CFj,11/8/2016 17:11,34.15788603,-118.4383799,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.43837992, 34.15788603], 'type': 'Point'}",Los Angeles,0.108836579,negative,Surprise,Hillary
#election2016 #imwithher🇺🇸 #yourefired @ The George Washington University https://t.co/jVkUQ53DWI,11/8/2016 17:11,40.70305556,-74.02611111,"Place(name='New Jersey', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/65b4760a2b411e11.json', full_name='New Jersey, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.563587, 38.788657], [-73.88506, 38.788657], [-73.88506, 41.357424], [-75.563587, 41.357424]]], type='Polygon'), contained_within=[], id='65b4760a2b411e11')","{'coordinates': [-74.02611111, 40.70305556], 'type': 'Point'}",New York,0.108836579,negative,Surprise,Hillary
