text,freq
#election2016,1943
#vote,589
#imwithher,274
#ivoted,228
#electionday,211
#govote,115
#election,95
#democrat,91
#hilaryclinton,83
#usa,83
#america,62
#voted,52
#rockthevote,49
#nyc,47
#voting,40
#president,35
#trump,33
#donaldtrump,30
#democracy,29
#getoutandvote,29
#vote2016,25
#republican,19
#civicduty,18
#presidentialelection,18
#merica,17
#pantsuitnation,16
#myvote,15
#barackobama,14
#2016,13
#brooklyn,13
#clinton,13
#hillary,13
#nastywoman,13
#gotv,12
#wevoted,12
#dumptrump,11
#makeamericagreatagain,11
#nevertrump,11
#dontboovote,10
#godblessamerica,10
#newyork,10
#politics,10
#dc,9
#hillary2016,9
#selfie,9
#strongertogether,9
#anime,8
#myvote2016,8
#repost,8
#tuesday,8
#votetoday,8
#yourvotecounts,8
#electionnight,7
#getoutthevote,7
#nycvotes,7
#obama,7
#trump2016,7
#california,6
#everyvotecounts,6
#otaku,6
#thefutureisfemale,6
#todayistheday,6
#uselection,6
#votolatino,6
#werewithher,6
#art,5
#florida,5
#goodmorning,5
#hrc,5
#ivotedtoday,5
#liberty,5
#lovetrumpshate,5
#madampresident,5
#murica,5
#myvotecounts,5
#philly,5
#potus,5
#redwhiteandblue,5
#today,5
#unitedstates,5
#votehillary,5
#voteordie,5
#votetrump,5
#wearwhitetovote,5
#clinton2016,4
#clintonkaine2016,4
#coffee,4
#decision2016,4
#done,4
#elections,4
#fall,4
#goddessart123,4
#ivoted2016,4
#justdoit,4
#letsmakehistory,4
#losangeles,4
#makeadifference,4
#makeyourvoiceheard,4
#myvoice,4
