text,size
vote,388
voted,223
you,181
today,173
day,145
school,129
your,119
election,99
new,90
done,77
elementary,77
line,75
york,75
just,71
voting,71
church,70
make,68
with,59
democrat,56
center,54
morning,54
park,54
that,52
america,49
our,49
don't,47
time,46
are,44
city,44
there,44
all,43
congress,43
civic,41
duty,41
i'm,40
let's,39
first,38
was,37
have,36
united,36
but,34
people,32
polling,32
polls,32
right,32
good,31
happy,31
what,31
now,29
got,28
long,28
not,28
voice,28
who,28
can,27
here,27
high,26
history,26
it,26
place,26
heard,25
states,25
from,24
hall,23
middle,23
sure,23
about,22
early,22
los,22
town,22
will,22
california,21
great,21
one,21
san,21
washington,21
community,20
please,20
ballot,19
brooklyn,19
exercise,19
south,19
republican,18
street,18
together,18
cast,17
county,17
east,17
has,17
her,17
house,17
let,17
some,17
west,17
white,17
angeles,16
before,16
everyone,16
how,16
