date,GISS,HAD,NOAA
8/11/2016 4:03,0.11,1,1
8/11/2016 4:05,0.06,1,1
8/11/2016 4:05,1,1,1
8/11/2016 4:07,0.11,1,1
8/11/2016 4:14,0.06,1,1
8/11/2016 4:15,0.11,1,1
8/11/2016 4:19,1,1,1
8/11/2016 4:20,0.11,1,1
8/11/2016 4:21,0.11,1,1
8/11/2016 4:22,0.51,1,1
8/11/2016 4:25,1,1,1
8/11/2016 4:26,1,1,1
8/11/2016 4:26,0.04,1,1
8/11/2016 4:30,0.11,1,1
8/11/2016 4:30,1,0.11,1
8/11/2016 4:30,1,1,1
8/11/2016 4:31,0.47,1,1
8/11/2016 4:36,1,1,1
8/11/2016 4:39,1,1,1
8/11/2016 4:39,1,19.72,1
8/11/2016 4:43,1,1,0.93
8/11/2016 4:45,1,1,1
8/11/2016 4:46,1.89,1,1
8/11/2016 4:47,1,1,1.01
8/11/2016 4:50,0.11,1,1
8/11/2016 4:50,1,1,1
8/11/2016 4:53,1,1,1
8/11/2016 4:57,0.11,1,1
8/11/2016 4:58,0.11,1,1
8/11/2016 4:59,0.93,1,1
8/11/2016 5:01,38.67,1,1
8/11/2016 5:05,0.11,1,1
8/11/2016 5:09,1,1,1.89
8/11/2016 5:11,1,1,1
8/11/2016 5:12,0.11,1,1
8/11/2016 5:19,1,1,1
8/11/2016 5:21,0.06,1,1
8/11/2016 5:25,37.12,1,1
8/11/2016 5:25,0.93,1,1
8/11/2016 5:33,1,95.54,1
8/11/2016 5:34,21.27,1,1
8/11/2016 5:34,0.11,1,1
8/11/2016 5:34,1,1,1
8/11/2016 5:36,0.11,1,1
8/11/2016 5:38,38.67,1,1
8/11/2016 5:39,1,38.67,1
8/11/2016 5:40,1,1,1
8/11/2016 5:55,1,0.11,1
8/11/2016 5:59,19.72,1,1
8/11/2016 6:03,1,19.72,1
8/11/2016 6:07,2.71,1,1
8/11/2016 6:09,0.93,1,1
8/11/2016 6:15,1.44,1,1
8/11/2016 6:15,1.74,1,1
8/11/2016 6:28,1.01,1,1
8/11/2016 6:33,0.11,1,1
8/11/2016 6:33,0.11,1,1
8/11/2016 6:36,0.53,1,1
8/11/2016 6:38,1,38.67,1
8/11/2016 6:40,1,1,1
8/11/2016 6:43,1,21.27,1
8/11/2016 7:22,2.32,1,1
8/11/2016 7:26,19.72,1,1
8/11/2016 7:27,0.93,1,1
8/11/2016 7:31,1,1,37.12
8/11/2016 7:31,19.72,1,1
8/11/2016 7:33,1,1,1.82
8/11/2016 7:35,1,1,1
8/11/2016 7:37,1,56.07,1
8/11/2016 7:47,0.11,1,1
8/11/2016 7:51,1,0.11,1
8/11/2016 7:55,1,0.11,1
8/11/2016 7:58,0.11,1,1
8/11/2016 8:01,0.11,1,1
8/11/2016 9:36,0.11,1,1
8/11/2016 9:37,0.11,1,1
8/11/2016 9:52,1,2.32,1
8/11/2016 9:57,0.11,1,1
8/11/2016 9:57,0.11,1,1
8/11/2016 10:02,1,0.93,1
8/11/2016 10:02,0.11,1,1
8/11/2016 10:06,1,0.11,1
8/11/2016 10:08,0.11,1,1
8/11/2016 10:10,1,0.51,1
8/11/2016 10:11,0.11,1,1
8/11/2016 10:15,0.11,1,1
8/11/2016 10:16,0.11,1,1
8/11/2016 10:21,2.32,1,1
8/11/2016 10:23,1,1,1
8/11/2016 10:24,0.51,1,1
